,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
144,Ada Medjica,44.79134771904464,20.38797650839549,Waterski Club Rush,44.79384687332643,20.383106768131256,Recreation Center
145,Ada Medjica,44.79134771904464,20.38797650839549,Špic Ade Međice,44.79440725768487,20.382649903862152,Campground
146,Ada Medjica,44.79134771904464,20.38797650839549,Okretnica gradskog prevoza Gandijeva,44.79654,20.3901,Bus Station
147,Ada Medjica,44.79134771904464,20.38797650839549,Marina La Sata,44.79175377257577,20.37939919167292,River
148,Ada Medjica,44.79134771904464,20.38797650839549,STARA KRUNA,44.785771211129386,20.391554274598693,Café
149,Ada Medjica,44.79134771904464,20.38797650839549,Cafe Ceca,44.78655671469718,20.395016881820204,Café
150,Ada Medjica,44.79134771904464,20.38797650839549,Caffe Sirano,44.78662938145913,20.395730648810474,Bar
151,Ada Medjica,44.79134771904464,20.38797650839549,Del Mar,44.786478913489034,20.395541032972073,Café
152,Ada Medjica,44.79134771904464,20.38797650839549,Parkić ispred zgrade,44.79845857687074,20.39092410500328,Park
153,Ada Medjica,44.79134771904464,20.38797650839549,Obala naturista,44.78375722560765,20.389718470404706,Nudist Beach
154,Ada Medjica,44.79134771904464,20.38797650839549,Tropical Heat - Ada,44.78628947,20.394471287727356,Bar
155,Airport City Belgrade,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
156,Airport City Belgrade,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
157,Bezanija,44.80936392218182,20.37637864753578,Kesten,44.809863658694255,20.378364659763324,Restaurant
158,Bezanija,44.80936392218182,20.37637864753578,Park u bloku 63,44.80609217807168,20.382020473480225,Park
159,Bezanija,44.80936392218182,20.37637864753578,Falafel ćoše,44.81009188399657,20.382917618022677,Falafel Restaurant
160,Bezanija,44.80936392218182,20.37637864753578,Lidl,44.81056119674614,20.38437111427209,Supermarket
161,Bezanija,44.80936392218182,20.37637864753578,Vespucci,44.81198292485142,20.370010609566286,Pizza Place
162,Bezanija,44.80936392218182,20.37637864753578,Silhouette Beauty Studio,44.81313915648288,20.370807388169567,Massage Studio
163,Bezanija,44.80936392218182,20.37637864753578,Lav,44.806902511535284,20.382584778403398,Pizza Place
164,Bezanija,44.80936392218182,20.37637864753578,GAK,44.814990347467855,20.373584225973456,Bakery
165,Bezanija,44.80936392218182,20.37637864753578,Cada Dia,44.81237809435308,20.370708121716618,Café
166,Bezanija,44.80936392218182,20.37637864753578,Fit Mania,44.80550385192,20.378700724173985,Gym / Fitness Center
167,Bezanija,44.80936392218182,20.37637864753578,Hermes,44.815049342757796,20.37349586746308,Bakery
168,Bezanija,44.80936392218182,20.37637864753578,Golden Wok,44.805353966240126,20.37821818705212,Chinese Restaurant
169,Bezanija,44.80936392218182,20.37637864753578,Mak,44.80696073418745,20.38274555808162,Bakery
170,Bezanija,44.80936392218182,20.37637864753578,dm-drogerie markt,44.80436761727732,20.377290652315473,Cosmetics Shop
171,Bezanija,44.80936392218182,20.37637864753578,Cezar,44.80377109948019,20.37447908902379,Restaurant
172,Bezanija,44.80936392218182,20.37637864753578,Pause,44.814023858618526,20.37591051360325,Lounge
173,Bezanija,44.80936392218182,20.37637864753578,JYSK,44.80441029620355,20.37696694590015,Furniture / Home Store
174,Bezanija,44.80936392218182,20.37637864753578,Shop&Go,44.810841,20.382258,Market
175,Bezanija,44.80936392218182,20.37637864753578,Univerexport,44.80441494479285,20.376850097242077,Supermarket
176,Bezanija,44.80936392218182,20.37637864753578,City Caffe,44.807294672674736,20.38304591534167,Café
177,Bezanija,44.80936392218182,20.37637864753578,Kod stare vrbe,44.80797548617933,20.384554414652452,Restaurant
178,Bezanija,44.80936392218182,20.37637864753578,Stefan,44.815194787170526,20.37442588163875,Fast Food Restaurant
179,Bezanija,44.80936392218182,20.37637864753578,Banjalučki ćevap,44.80667826544215,20.385663188419233,Burger Joint
180,Bezanija,44.80936392218182,20.37637864753578,Stadion FK Bežanija,44.807636285886,20.374719054001314,Soccer Stadium
181,Bezanija,44.80936392218182,20.37637864753578,Pijaca Bežanijska kosa,44.81548850047251,20.374334660560805,Farmers Market
182,Bezanija,44.80936392218182,20.37637864753578,Duplex,44.81146515421568,20.369393913810367,Café
183,Bezanija,44.80936392218182,20.37637864753578,Maxi,44.81115067234465,20.36890678042367,Supermarket
184,Bezanija,44.80936392218182,20.37637864753578,Studio Blaze,44.806685916025835,20.372772216796875,Recording Studio
185,Bezanija,44.80936392218182,20.37637864753578,Tips,44.80955984758861,20.370076230037846,Pizza Place
186,Bezanija,44.80936392218182,20.37637864753578,Pazarski ćevap,44.81082216690026,20.382468847775808,BBQ Joint
187,Bezanija,44.80936392218182,20.37637864753578,Bežanijska padina,44.81088089908496,20.38261686156563,Hill
188,Bezanija,44.80936392218182,20.37637864753578,Ko to tamo čita,44.81067664938137,20.382983997471772,Bookstore
189,Bezanija,44.80936392218182,20.37637864753578,Dolce vita's,44.81013259721495,20.383167233127537,Bar
190,Bezanija,44.80936392218182,20.37637864753578,Stajalište gradskog prevoza Gandijeva,44.810605,20.383503,Bus Stop
191,Bezanija,44.80936392218182,20.37637864753578,Pite ispod sača Sač-Mač,44.81531,20.374365,Pie Shop
192,Bezanija,44.80936392218182,20.37637864753578,Park u bloku 64,44.809383732796185,20.385084768384548,Park
193,Bezanija,44.80936392218182,20.37637864753578,Bus 601,44.8095197342899,20.385372997057946,Moving Target
194,Bezanija,44.80936392218182,20.37637864753578,Pet shop Lunja,44.80420284556221,20.370226434819184,Pet Store
195,Bezanija,44.80936392218182,20.37637864753578,Crveni parkić,44.81032477560132,20.366913014025677,Park
196,Bezanijska Kosa,44.81695800000002,20.391761249999995,Caffe Primavera,44.81730253094136,20.389638873561893,Café
197,Bezanijska Kosa,44.81695800000002,20.391761249999995,Stojana Aralice,44.817966575369894,20.390427005334534,Farm
198,Bezanijska Kosa,44.81695800000002,20.391761249999995,Kad ti dođem nesrećo,44.817328345502496,20.389639679613264,Café
199,Blokovi,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
200,Blokovi,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
201,Delta City,44.804800000000064,20.40499000000005,Beerville,44.80634722140124,20.40538882702947,Beer Store
202,Delta City,44.804800000000064,20.40499000000005,Go Sushi,44.806585335048176,20.406261524260042,Sushi Restaurant
203,Delta City,44.804800000000064,20.40499000000005,Massimo Dutti,44.80504126330134,20.405884191438748,Clothing Store
204,Delta City,44.804800000000064,20.40499000000005,Zara,44.805018616175815,20.405961587496243,Clothing Store
205,Delta City,44.804800000000064,20.40499000000005,Cineplexx,44.805049868131654,20.40480331144921,Multiplex
206,Delta City,44.804800000000064,20.40499000000005,Lavina,44.80633351495549,20.40643867910881,Italian Restaurant
207,Delta City,44.804800000000064,20.40499000000005,Sportina,44.80498056276111,20.40462094755797,Clothing Store
208,Delta City,44.804800000000064,20.40499000000005,Monument,44.80497884156992,20.404465360890615,Italian Restaurant
209,Delta City,44.804800000000064,20.40499000000005,YoMama,44.80499398238157,20.404750977456064,Dessert Shop
210,Delta City,44.804800000000064,20.40499000000005,Delta City,44.80519516649397,20.405007236181767,Shopping Mall
211,Delta City,44.804800000000064,20.40499000000005,Здраво живо | Zdravo živo,44.80548205095131,20.408020358212603,Vegetarian / Vegan Restaurant
212,Delta City,44.804800000000064,20.40499000000005,Bershka,44.80502009669079,20.404591174970275,Shoe Store
213,Delta City,44.804800000000064,20.40499000000005,Adoré chocolat,44.80499759101182,20.405189959695193,Chocolate Shop
214,Delta City,44.804800000000064,20.40499000000005,Sephora,44.80498635162045,20.405828980223717,Cosmetics Shop
215,Delta City,44.804800000000064,20.40499000000005,Vulkan knjižara,44.804884046896056,20.406006477357465,Bookstore
216,Delta City,44.804800000000064,20.40499000000005,Kokpit,44.80578678775041,20.406679517573753,Coffee Shop
217,Delta City,44.804800000000064,20.40499000000005,Доза | Doza,44.806514021450255,20.406417282183536,Coffee Shop
218,Delta City,44.804800000000064,20.40499000000005,Dexy Co Kids,44.80498885955223,20.40472457334804,Kids Store
219,Delta City,44.804800000000064,20.40499000000005,Green Mill 2,44.80681389827536,20.40449570486295,Pub
220,Delta City,44.804800000000064,20.40499000000005,McDonald's,44.80500666595747,20.404707954206188,Fast Food Restaurant
